Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,2,0,50,-1220,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,3,0,49,-1542,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,4,0,49,-1096,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,5,0,48,-658,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,6,0,48,-571,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,7,0,48,-401,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,8,0,48,-308,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,9,0,47,-180,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,1,0,50,0,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,2,0,50,-22,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,3,0,50,-24,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,4,0,50,-13,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,5,0,50,-11,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,6,0,50,-26,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,7,0,50,-12,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,8,0,50,-15,0,0,0,0,0,0,0,0
9,Jenkinson,Carl,Jenkinson,False,0.0,Defender,Arsenal,9,0,50,-18,0,0,0,0,0,0,0,0
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,1,0,60,0,90,0,0,0,0,0,0,4
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,2,9,60,-15966,90,0,0,1,3,0,0,0
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,3,2,60,736,73,0,0,0,0,0,0,1
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,4,1,60,-26450,90,0,0,0,0,1,0,1
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,5,2,60,-6862,90,0,0,0,0,0,0,1
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,6,6,60,-11081,90,0,0,1,0,0,0,0
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,7,7,60,1471,90,0,0,1,1,0,0,0
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,8,1,60,7531,90,0,0,0,0,0,0,2
10,Monreal,Nacho,Monreal,False,4.8,Defender,Arsenal,9,6,60,627,90,0,0,1,0,0,0,0
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,1,6,45,0,90,1,0,0,0,0,0,4
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,2,0,45,42967,0,0,0,0,0,0,0,0
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,3,0,45,-15129,0,0,0,0,0,0,0,0
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,4,0,45,-15483,0,0,0,0,0,0,0,0
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,5,0,45,-11528,0,0,0,0,0,0,0,0
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,6,1,44,-12792,90,0,0,0,0,0,0,2
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,7,2,44,-4119,90,0,0,0,0,0,0,1
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,8,2,44,-2254,90,0,0,0,0,0,0,1
11,Chambers,Calum,Chambers,False,3.0,Defender,Middlesbrough,9,0,44,-8989,0,0,0,0,0,0,0,0
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,1,2,110,0,90,0,0,0,0,0,0,4
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,2,3,110,-20160,90,0,0,1,0,0,0,0
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,3,16,109,-35661,90,1,2,0,3,0,0,1
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,4,1,110,219148,29,0,0,0,0,0,0,0
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,5,10,110,-25827,90,2,0,0,0,0,0,1
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,6,14,110,23898,78,1,1,1,3,0,0,0
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,7,3,112,263588,90,0,0,1,0,0,0,0
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,8,5,113,114991,81,0,1,0,0,0,0,2
12,Sánchez,Alexis,Sánchez,True,23.8,Midfielder,Arsenal,9,3,113,6181,90,0,0,1,0,0,0,0
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,1,5,75,0,90,1,0,0,0,0,0,4
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,2,3,75,15264,90,0,0,1,0,0,0,0
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,3,5,75,14497,90,0,1,0,0,0,0,1
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,4,2,75,4091,74,0,0,0,0,0,0,1
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,5,13,75,-32496,87,1,1,0,3,0,0,1
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,6,8,75,14790,90,1,0,1,0,0,0,0
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,7,6,76,162661,90,0,1,1,0,0,0,0
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,8,13,77,138639,90,2,0,0,1,0,0,2
13,Walcott,Theo,Walcott,True,21.4,Midfielder,Arsenal,9,3,80,394756,90,0,0,1,0,0,0,0
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,1,0,95,0,0,0,0,0,0,0,0,0
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,2,1,95,-23953,18,0,0,0,0,0,0,0
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,3,8,95,16729,69,1,0,0,1,0,0,1
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,4,2,96,108211,90,0,0,0,0,0,0,1
14,Özil,Mesut,Özil,False,8.7,Midfielder,Arsenal,5,2,96,-13307,90,0,0,0,0,0,0,1
